#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
0.555 0.005, 0.0 0.0, 0.007546357005841524 2.068647376676946e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.5650000000000001 0.005, 0.0 0.0, 0.007501263789735345 2.4399325412680124e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.5750000000000001 0.005, 0.0 0.0, 0.007448767731907248 2.808809787017473e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.585 0.005, 0.0 0.0, 0.007388920639628386 3.1749150766188566e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.595 0.005, 0.0 0.0, 0.007321781574753411 3.537887108351766e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.605 0.005, 0.0 0.0, 0.007247416795433555 3.897367672643019e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.615 0.005, 0.0 0.0, 0.00716589969072784 4.253002005576274e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.625 0.005, 0.0 0.0, 0.00707731070817693 4.6044391390011805e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.635 0.005, 0.0 0.0, 0.0069817372744111275 4.951332246896567e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.645 0.005, 0.0 0.0, 0.006879273708870838 5.2933389876458527e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.655 0.005, 0.0 0.0, 0.006770021130724672 5.6301218418868904e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.665 0.005, 0.0 0.0, 0.006654087359077036 5.961348445602838e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.675 0.005, 0.0 0.0, 0.006531586806563696 6.286691918125291e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.685 0.005, 0.0 0.0, 0.006402640366440306 6.605831184726073e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.6950000000000001 0.005, 0.0 0.0, 0.006267375293275381 6.918451293479188e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.7050000000000001 0.005, 0.0 0.0, 0.006125925077365381 7.224243726080392e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.715 0.005, 0.0 0.0, 0.005978429312995923 7.52290670231746e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.725 0.005, 0.0 0.0, 0.005825033560679051 7.814145477890882e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.735 0.005, 0.0 0.0, 0.005665889203502617 8.097672635290841e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.745 0.005, 0.0 0.0, 0.005501153297733416 8.373208367443635e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.755 0.005, 0.0 0.0, 0.00533098841782164 8.640480753847456e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.765 0.005, 0.0 0.0, 0.005155562495959505 8.899226028925116e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.775 0.005, 0.0 0.0, 0.004975048656352462 9.149188842328802e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.785 0.005, 0.0 0.0, 0.004789625044366501 9.390122510940068e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.795 0.005, 0.0 0.0, 0.004599474650720191 9.621789262316264e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.805 0.005, 0.0 0.0, 0.004404785130894924 9.84396046934325e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.8150000000000001 0.005, 0.0 0.0, 0.0042057486199416185 0.00010056416875862744, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.8250000000000001 0.005, 0.0 0.0, 0.0040025615428666145 0.00010258948813051683, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.8350000000000001 0.005, 0.0 0.0, 0.0037954244207839103 0.00010451356406340045, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.845 0.005, 0.0 0.0, 0.0035845416730250386 0.00010633449772662896, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.855 0.005, 0.0 0.0, 0.0033701214154018516 0.00010805049207852076, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.865 0.005, 0.0 0.0, 0.00315237525482135 0.00010965985363982509, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.875 0.005, 0.0 0.0, 0.0029315180804552195 0.00011116099416498147, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.885 0.005, 0.0 0.0, 0.0027077678516701465 0.0001125524322095265, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.895 0.005, 0.0 0.0, 0.0024813453829282467 0.00011383279459210054, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.905 0.005, 0.0 0.0, 0.002252474125869858 0.00011500081774961202, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.915 0.005, 0.0 0.0, 0.002021379948793729 0.0001160553489842216, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.925 0.005, 0.0 0.0, 0.0017882909137523035 0.00011699534760091585, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.935 0.005, 0.0 0.0, 0.0015534370514819792 0.00011781988593454752, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.9450000000000001 0.005, 0.0 0.0, 0.001317050134390574 0.00011852815026532895, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.9550000000000001 0.005, 0.0 0.0, 0.0010793634478259112 0.00011911944162187554, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.965 0.005, 0.0 0.0, 0.0008406115598513793 0.00011959317647100578, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.975 0.005, 0.0 0.0, 0.000601030089755531 0.00011994888729361835, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.985 0.005, 0.0 0.0, 0.0003608554755243395 0.00012018622304607674, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
0.995 0.005, 0.0 0.0, 0.00012032474050541164 0.00012030494950664725, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.005 0.005, 0.0 0.0, -0.00012032474050540635 0.00012030494950664725, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.015 0.005, 0.0 0.0, -0.00036085547552433425 0.00012018622304607676, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.025 0.005, 0.0 0.0, -0.0006010300897555257 0.00011994888729361836, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.035 0.005, 0.0 0.0, -0.0008406115598513741 0.0001195931764710058, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.045 0.005, 0.0 0.0, -0.0010793634478259095 0.00011911944162187554, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.055 0.005, 0.0 0.0, -0.001317050134390572 0.00011852815026532896, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.065 0.005, 0.0 0.0, -0.0015534370514819775 0.00011781988593454752, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.075 0.005, 0.0 0.0, -0.0017882909137523016 0.00011699534760091587, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.085 0.005, 0.0 0.0, -0.0020213799487937274 0.00011605534898422162, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.095 0.005, 0.0 0.0, -0.0022524741258698557 0.00011500081774961202, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.105 0.005, 0.0 0.0, -0.0024813453829282445 0.00011383279459210055, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.115 0.005, 0.0 0.0, -0.0027077678516701444 0.0001125524322095265, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.125 0.005, 0.0 0.0, -0.0029315180804552177 0.00011116099416498148, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.135 0.005, 0.0 0.0, -0.0031523752548213483 0.0001096598536398251, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.145 0.005, 0.0 0.0, -0.00337012141540185 0.00010805049207852078, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.155 0.005, 0.0 0.0, -0.003584541673025037 0.00010633449772662897, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.1649999999999998 0.005, 0.0 0.0, -0.003795424420783906 0.00010451356406340049, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.1749999999999998 0.005, 0.0 0.0, -0.00400256154286661 0.00010258948813051687, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.1849999999999998 0.005, 0.0 0.0, -0.004205748619941614 0.0001005641687586275, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.1949999999999998 0.005, 0.0 0.0, -0.004404785130894922 9.843960469343252e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.2049999999999998 0.005, 0.0 0.0, -0.004599474650720187 9.621789262316269e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.2149999999999999 0.005, 0.0 0.0, -0.0047896250443665 9.39012251094007e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.2249999999999999 0.005, 0.0 0.0, -0.004975048656352458 9.149188842328807e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.2349999999999999 0.005, 0.0 0.0, -0.005155562495959503 8.899226028925118e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.2449999999999999 0.005, 0.0 0.0, -0.005330988417821637 8.640480753847462e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.255 0.005, 0.0 0.0, -0.0055011532977334125 8.373208367443642e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.265 0.005, 0.0 0.0, -0.0056658892035026135 8.097672635290848e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.275 0.005, 0.0 0.0, -0.005825033560679048 7.814145477890889e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.285 0.005, 0.0 0.0, -0.005978429312995918 7.522906702317471e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.295 0.005, 0.0 0.0, -0.006125925077365382 7.22424372608039e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.305 0.005, 0.0 0.0, -0.00626737529327538 6.918451293479191e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.315 0.005, 0.0 0.0, -0.006402640366440305 6.605831184726074e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.325 0.005, 0.0 0.0, -0.006531586806563693 6.286691918125298e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.335 0.005, 0.0 0.0, -0.006654087359077037 5.961348445602836e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.345 0.005, 0.0 0.0, -0.006770021130724671 5.630121841886893e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.355 0.005, 0.0 0.0, -0.006879273708870837 5.2933389876458554e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.365 0.005, 0.0 0.0, -0.006981737274411126 4.951332246896572e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.375 0.005, 0.0 0.0, -0.007077310708176929 4.604439139001188e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.385 0.005, 0.0 0.0, -0.00716589969072784 4.253002005576274e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.395 0.005, 0.0 0.0, -0.0072474167954335545 3.897367672643022e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.405 0.005, 0.0 0.0, -0.007321781574753409 3.5378871083517715e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4149999999999998 0.005, 0.0 0.0, -0.007388920639628384 3.174915076618865e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4249999999999998 0.005, 0.0 0.0, -0.007448767731907247 2.8088097870174783e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4349999999999998 0.005, 0.0 0.0, -0.007501263789735344 2.4399325412680205e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4449999999999998 0.005, 0.0 0.0, -0.007546357005841524 2.068647376676957e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4549999999999998 0.005, 0.0 0.0, -0.007584002878665662 1.695320706875927e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4649999999999999 0.005, 0.0 0.0, -0.00761416425627632 1.3203209602157708e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4749999999999999 0.005, 0.0 0.0, -0.007636811373035225 9.440182161721628e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4849999999999999 0.005, 0.0 0.0, -0.007651921878972353 5.667838401218931e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.4949999999999999 0.005, 0.0 0.0, -0.007659480861842662 1.8899011685006552e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.505 0.005, 0.0 0.0, -0.007659480861842662 -1.889901168500504e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.515 0.005, 0.0 0.0, -0.007651921878972354 -5.66783840121878e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.525 0.005, 0.0 0.0, -0.007636811373035226 -9.440182161721475e-06, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.535 0.005, 0.0 0.0, -0.007614164256276322 -1.3203209602157557e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.545 0.005, 0.0 0.0, -0.007584002878665662 -1.695320706875923e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.555 0.005, 0.0 0.0, -0.007546357005841525 -2.0686473766769422e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.565 0.005, 0.0 0.0, -0.007501263789735346 -2.439932541268006e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.575 0.005, 0.0 0.0, -0.0074487677319072495 -2.8088097870174638e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.585 0.005, 0.0 0.0, -0.007388920639628385 -3.174915076618861e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.595 0.005, 0.0 0.0, -0.00732178157475341 -3.537887108351767e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.605 0.005, 0.0 0.0, -0.007247416795433555 -3.897367672643017e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.615 0.005, 0.0 0.0, -0.007165899690727841 -4.25300200557627e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.625 0.005, 0.0 0.0, -0.007077310708176929 -4.604439139001184e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.635 0.005, 0.0 0.0, -0.006981737274411127 -4.951332246896568e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.645 0.005, 0.0 0.0, -0.006879273708870838 -5.293338987645851e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.655 0.005, 0.0 0.0, -0.006770021130724673 -5.630121841886889e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.665 0.005, 0.0 0.0, -0.0066540873590770384 -5.9613484456028326e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.6749999999999998 0.005, 0.0 0.0, -0.006531586806563698 -6.286691918125286e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.6849999999999998 0.005, 0.0 0.0, -0.006402640366440311 -6.605831184726062e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.6949999999999998 0.005, 0.0 0.0, -0.006267375293275385 -6.918451293479179e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.7049999999999998 0.005, 0.0 0.0, -0.006125925077365384 -7.224243726080386e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.7149999999999999 0.005, 0.0 0.0, -0.005978429312995924 -7.522906702317459e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
1.7249999999999999 0.005, 0.0 0.0, -0.005825033560679054 -7.814145477890877e-05, 0.0 0.0, 1.000398, 0.0, 0.0001000398, 1
